1001	"<img src=""E6BC86.png"" />"	lacquer			漆	うるし	lacquer; varnish; japan / lacquer tree (Toxicodendron vernicifluum)	lacquer, water, water droplets, water pistol, tree, wood, umbrella, grains of rice	Water . . . tree . . . umbrella . . . grains of rice.		14	LACQUER is a type of WATERY type of liquid used to protect items made from TREES, sort of an UMBRELLA of protection. So protective, you can carry around RICE in the LACQUERED, WOODEN product.	Water is falling from a tree onto the umbrella underneath which is protecting the rice underneath it. But it´s completely dry since the umbrella is lacquered.	漆	しっこく【漆黒】jet black<br/>しち; なな; な【７】seven / hepta-<br/>うるし【漆】lacquer; varnish; japan / lacquer tree (Toxicodendron vernicifluum)<br/>しっくい【漆喰】mortar; plaster; stucco<br/>しっき【漆器】lacquer ware; lacquerware; lacquer work; lacquerwork<br/>きうるし【生漆】unrefined sap of the lacquer tree	26	シツ	うるし	932	1841	1	[sound:RTK1_keyword_jp_1001..mp3]	[sound:RTK1_keyword_en_1001.mp3]
1002	"<img src=""E8869D.png"" />"	knee			膝	ひざ	knee	knee, moon, month, flesh, part of the body, tree, wood, umbrella, grains of rice	Flesh . . . tree . . . umbrella . . . rice grains.		15	Before lacquer (#932) was made with water, it was made by draining this body part of fluid: the knee!	Back in ancient Japan, people didn´t have knee pads for things like rollerblading and such (what, come on. Ninjas on rollerblades. Ultimate 90s flashback). Instead, they would simply dip their knees in laquer, and wait until it dried (hence the flesh, and the abscence of any drops of water). Unfortunately, this meant that you would have to wait about 30 minutes after deciding to go rollerblade until you could actually do it (took some time to dry) - and removing it was a serious pain.	膝	ひざ【膝】knee / lap; knee and thigh (while sitting)<br/>ひざがしら【膝がしら】kneecap<br/>ひざこぞう【膝小僧】kneecap<br/>ひざもと; しっか【ひざ元】near one's knee / under the protection of (e.g. one's parents); under the care of / territory of a powerful person / address used after the names of one's parents, grandparents, etc. in a letter<br/>ひざした【膝下】below the knee<br/>ひざもと; しっか【ひざ元】near one's knee / under the protection of (e.g. one's parents); under the care of / territory of a powerful person / address used after the names of one's parents, grandparents, etc. in a letter<br/>ひざまくら【膝枕】sleeping with one's head in another's lap<br/>ひざかけ【ひざ掛】lap blanket<br/>いざり【膝行】crawling on the ground; shuffling one one's knees / cripple<br/>こひざ【小膝】knee<br/>しっこう【膝行】moving forward by sliding on one's knees (in the presence of high-ranking individuals)<br/>たてひざ【立膝】sitting with one knee drawn up<br/>おひざもと【おひざ元】home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters<br/>しつがいこつ【膝蓋骨】kneecap; patella	26	シツ	ひざ	2461	1931	0	[sound:RTK1_keyword_jp_1002..mp3]	[sound:RTK1_keyword_en_1002.mp3]
1003	"<img src=""E6A798.png"" />"	Esq.			様	さま	Mr.; Mrs.; Miss; Ms. / makes words more polite (usu. in fixed expressions) / state; situation; appearance	Esq., tree, wood, sheep, grains of rice	The abbreviation <b>Esq.</b> will help associate this character with the honorific form of address to which it belongs. Its elements are: <i>tree</i> . . . <i>sheep</i> . . . <i>grains of rice</i>. Note that the final vertical stroke in the element for <i>sheep</i> is extended to form the first stroke for <i>grains of rice</i>.		14	Here we have the requirements to be counted among the ranks of the noble Esq. You must posses a forested estate, herds of sheep, and granary full of grains of rice.	This is -Sama, a generic high term of respect for someone in an unusual profession. If you met a person that created a wooden sheep that was squeezing a single grain of rice out of its ass, you´d definitely call that person -sama. Because that is impressive.	様	どうよう【同様】identical; equal to; same (kind); like; similarity<br/>きさま【貴様】you; you bastard; you son of a bitch / you<br/>もよう【模様】pattern; figure; design / state; condition / conjecture of the current situation; the way it seems / model; pattern; example / indicates that that noun seems likely (e.g. rain or storm)<br/>いよう【異様】bizarre; strange; eccentric; odd; queer<br/>おうさま【王さま】king<br/>さまさま【様々】our gracious (Queen); honorific that attaches to name of a person or thing that has bestowed grace or favour upon you / agreeable condition<br/>さまざま【様々】varied; various<br/>とのさま【殿様】feudal lord; daimyo<br/>おじょうさま【お嬢さま】(term of respect for) another's daughter; daughter of a high-class family<br/>かみさま【神さま】God<br/>さよう【佐様】like that / that's right; indeed / let me see...<br/>しよう【仕様】way; method; means; resource; remedy / (technical) specification<br/>ありさま; ありよう【有様】state; condition; circumstances; the way things are or should be; truth<br/>おかあさま【御母様】mother<br/>おくさま【奥さま】wife; your wife; his wife; married lady; madam<br/>おきゃくさま【お客さま】guest; visitor; customer<br/>いちよう【一様】uniformity; evenness; similarity; equality; impartiality; homogeneity<br/>みなさま【みな様】everyone<br/>ようしき【様式】style; form; pattern<br/>ようそう【様相】aspect	26	ヨウ, ショウ	さま, さん	933	430	2	[sound:RTK1_keyword_jp_1003..mp3]	[sound:RTK1_keyword_en_1003.mp3]
1004	"<img src=""E6B182.png"" />"	request			請求	せいきゅう　【請求】	demand; request	request, arrow, grains of rice	Let the <i>drop</i> in the upper right-hand corner of this character close the right angle off to make an <i>arrowhead</i>. Whenever we find the <i>needle</i> with that <i>drop</i> in an element that has no other special meaning, we will take advantage of this primitive meaning. At the bottom, we see the <i>grains of rice</i>, the vertical line doubling up for the two elements. Do not confuse with <i>petition</i> (Frame 143).		7	Enemy: ´Any final requests?´ // MacGyver: ´Just an arrowhead and some grains of rice.´ (MacGyver then throws the grains of rice at the enemy and uses the arrowhead to cut his hands free from the rope.).	Robin Hood holds his rich victim at arrowpoint and kindly requests that he hands over his grains of rice.	求	もとめる【求める】to want; to wish for / to request; to demand / to seek; to search for; to pursue (pleasure); to hunt (a job) / to purchase; to buy<br/>ようきゅう【要求】demand; firm request; requisition; requirement; desire<br/>よっきゅう【欲求】desire<br/>ついきゅう【追求】pursuing (goal); pursuit; seeking; search / to pursue (e.g. goal); to seek<br/>せいきゅう【請求】claim; demand; charge; application; request; billing (for a service)<br/>きゅうこん【求婚】marriage proposal; courtship<br/>もとむ【求む】to want; to wish for / to request; to demand / to seek; to search for; to pursue (pleasure); to hunt (a job) / to purchase; to buy<br/>さがしもとめる【捜し求める】to search for; to seek for; to look for<br/>たんきゅう【探求】search; quest; pursuit<br/>もとめ【求め】request; appeal; claim; demand / purchase<br/>おいもとめる【追い求める】to pursue<br/>かいもとめる【買い求める】to buy<br/>きゅうあい【求愛】courting<br/>さがしもとめる【捜し求める】to search for; to seek for; to look for<br/>きゅうじん【求人】offer of job (situation)<br/>きゅうしんりょく【求心力】centripetal force; cohesive power; unifying force<br/>ききゅう【希求】longing; great desire; aspiration<br/>きゅうけい【求刑】recommended sentence; prosecution's demand for punishment<br/>きゅうどう; ぐどう【求道】seeking for truth<br/>きゅうしん【求心】centripetal	26	キュウ, グ	もと.める	934	478	2	[sound:RTK1_keyword_jp_1004..mp3]	[sound:RTK1_keyword_en_1004.mp3]
1005	"<img src=""E79083.png"" />"	ball			野球	やきゅう	baseball	ball, king, jewel, ball, request, arrow, grains of rice	Ball . . . request.		11	Someone files a request to see the family jewels and, to their surprise, you show them your balls!	The KING REQUESTS your presence at the ball ... game.	球	ちきゅう【地球】the earth; the globe<br/>まり【毬】ball (for sport, games, etc.) / kemari; type of football played by courtiers in ancient Japan<br/>たま【弾】ball; sphere; globe; orb / bead (of sweat, dew, etc.); drop; droplet / ball (in sports) / pile (of noodles, etc.) / bullet / bulb (i.e. a light bulb) / lens (of glasses, etc.) / bead (of an abacus) / ball (i.e. a testicle) / gem; jewel (esp. spherical; sometimes used figuratively); pearl / female entertainer (e.g. a geisha) / person (when commenting on their nature); character / item, funds or person used as part of a plot / egg / coin / precious; beautiful; excellent<br/>きゅう【球】sphere / counter for balls<br/>やきゅう【野球】baseball<br/>きゅうたい【球体】sphere; globe; orb<br/>ちきゅうじん【地球人】earthling; earthman<br/>がんきゅう【眼球】eyeball<br/>でんきゅう【電球】light bulb<br/>はんきゅう【半球】hemisphere<br/>きゅうけい【球形】globular or spherical shape<br/>ききゅう【気球】balloon; blimp<br/>きゅうぎ【球技】ball game (e.g. baseball, tennis, soccer)<br/>きゅうじょう【球場】baseball stadium<br/>くさやきゅう【草野球】grass-lot baseball<br/>きゅうじょう【球状】shape of a globe; globe shape / spherical<br/>りゅうきゅう【琉球】Ryukyu; chain of southwestern Japanese islands comprising Okinawa Prefecture<br/>きゅうこん【球根】(plant) bulb<br/>ちょっきゅう; ちょくきゅう【直球】straight ball (pitch) / straight; frank<br/>とうきゅう【投球】pitching; throwing a ball; bowling (in cricket); pitched ball	26	キュウ	たま	935	275	2	[sound:RTK1_keyword_jp_1005..mp3]	[sound:RTK1_keyword_en_1005.mp3]
1006	"<img src=""E69591.png"" />"	salvation			救う	すくう	to rescue from; to help out of; to save	salvation, request, arrow, grains of rice, taskmaster	Request . . . taskmaster.		11	Like in the biblical sense, someone looks skyward and makes a request for salvation from this horrible taskmaster...	For salvation you have to request forgiveness from God (the ultimate taskmaster).	救	すくう【救う】to rescue from; to help out of; to save<br/>きゅうしゅつ【救出】rescue; extricate; reclaim; deliverance<br/>すくい【救い】help; aid; relief; (religious) salvation; (Christian) grace; providence<br/>きゅうじょ【救助】relief; aid; rescue<br/>きゅうえん【救援】relief; rescue; reinforcement<br/>きゅうきゅうしゃ【救急車】ambulance<br/>きゅうきゅう【救急】first-aid; emergency (aid)<br/>すくいだす【救い出す】to rescue; to free<br/>きゅうめい【救命】lifesaving<br/>くさい; ぐさい【救済】salvation (from suffering based on Buddha's teachings)<br/>きゅうさい【救済】relief; aid; rescue; salvation; help<br/>きゅうこく【救国】patriot devoted to the salvation of his country<br/>きゅうせいしゅ【救世主】saviour; messiah<br/>たすける【佐ける】to help; to save; to rescue; to give relief to; to spare (life); to reinforce; to promote; to abet<br/>きゅうご【救護】relief; aid<br/>きゅうなん【救難】rescue; salvage<br/>きゅうせい; ぐぜ; くせ【救世】salvation<br/>すくいぬし【救い主】savior (the Savior); rescuer<br/>きゅうめいどうい【救命胴衣】life-jacket; life-vest<br/>きゅうめいぐ【救命具】lifesaving equipment	26	キュウ	すく.う	936	480	2	[sound:RTK1_keyword_jp_1006..mp3]	[sound:RTK1_keyword_en_1006.mp3]
1007	"<img src=""E7ABB9.png"" />"	bamboo			竹	たけ	bamboo	bamboo	<b>Bamboo</b> grows upwards, like a straight <i>nail</i>, and at each stage of its growth (which legend associates with the arrival of the new moon) there is a jointed rootstock (the first stroke). Two such <b>bamboo</b> stalks are pictured here.	"* As a primitive, the meaning remains the same, but the vertical lines are severely abbreviated so that they can take their place at the top where, like <i>flowers</i>, they are always to be found.	 "	6	Pandas like to eat bamboo. I´m using panda as the primitive name when it fits the story. ^__^.	Two reclining victims impaled on bamboo spheres...　　　　　　　　　RTK2:　チク　松竹梅　しょうちくばい(pine, bamboo, plum).	竹	たけ【竹】bamboo / middle (of a three-tier ranking system)<br/>しない【竹刀】bamboo sword (for kendo); bamboo fencing stick<br/>たけづつ【竹筒】bamboo pipe<br/>ちくりん; たけばやし【竹林】bamboo thicket<br/>ささ【小竹】bamboo grass; generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.)<br/>あおだけ【青竹】green bamboo<br/>たけがき【竹垣】bamboo fence (hedge)<br/>たけやり; ちくそう【竹槍】bamboo spear<br/>たけざお【竹竿】bamboo pole<br/>ばくちく【爆竹】firecracker<br/>たけうま; ちくば【竹馬】(walk on) stilts; bamboo horse<br/>たけのこ; たかんな; たかむな; たこうな【竹の子】bamboo shoot / inexperienced doctor; quack<br/>ぜいちく【筮竹】bamboo divination stick<br/>かわたけ【川竹】bamboo growing along a river bank / Japanese timber bamboo (Phyllostachys bambsoides); giant timber bamboo; madake / Simon bamboo (Pleioblastus simonii) / prostitute; the life of a prostitute<br/>たけやぶ【竹やぶ】bamboo grove<br/>せきちく; セキチク【石竹】China pink (species of flower, Dianthus chinensis)<br/>はちく【破竹】breaking bamboo<br/>きょうちくとう【夾竹桃】oleander; Nerium oleander var. indicum; rosebay<br/>かんちく; カンチク【寒竹】marbled bamboo (Chimonobambusa marmorea)<br/>しょうちくばい【松竹梅】pine, bamboo and plum (together an auspicious grouping) / high, middle and low (ranking); top, middle and bottom; upper, medium, lower; first, second and third (class)	26	チク	たけ	937	58	2	[sound:RTK1_keyword_jp_1007..mp3]	[sound:RTK1_keyword_en_1007.mp3]
1008	"<img src=""E7AC91.png"" />"	laugh			笑う	わらう	laugh, smile	laugh, bamboo, heavens	Bamboo . . . heavens.		10	When the people tried to build a tower of bamboo to reach the heavens, the gods just laughed and laughed.	That Panda is in bamboo heaven! Just look at him laugh!	笑	びしょう【微笑】smile<br/>えがお【笑顔】smiling face; smile<br/>えみ【笑み】smile<br/>わらい【咲い】laugh; laughter / smile / sneer / sex aids (e.g. dildos, pornographic books, erotic woodblock prints, etc.)<br/>くしょう【苦笑】bitter smile; wry smile; strained laugh; sarcastic laugh<br/>わら; わらい【ｗ】LOL; haha<br/>ほほえむ【微笑む】to smile<br/>わらいごえ【笑い声】laughter<br/>ちょうしょう【嘲笑】scorn; sneer<br/>にがわらい【苦笑い】bitter smile; wry smile; forced smile; strained laugh<br/>わらいかける【笑いかける】to smile (at); to grin (at)<br/>わらえる【笑える】to be made to laugh<br/>れいしょう【冷笑】derision; derisive laughter; scornful laugh<br/>おおわらい【大笑い】great laughter; burst of laughter<br/>あざわらう; せせらわらう【嘲ら笑う】to sneer at; to ridicule<br/>こうしょう【哄笑】loud laughter<br/>うすわらい【薄笑い】faint smile<br/>たかわらい【高笑い】loud laughter<br/>だんしょう【談笑】friendly chat; pleasant chat; lighthearted talk; friendly conversation<br/>おかしい【可笑しい】funny; amusing; comical; laughable; ridiculous / strange; odd; funny; peculiar; weird; unusual; eccentric / improper; unsuitable; unbecoming / suspicious	26	ショウ	わら.う, え.む	938	537	2	[sound:RTK1_keyword_jp_1008..mp3]	[sound:RTK1_keyword_en_1008.mp3]
1009	"<img src=""E7ACA0.png"" />"	bamboo hat			笠	かさ	conical hat (East-Asian style); coolie hat	bamboo hat, bamboo, vase, stand up	Bamboo . . . vase.		11	The bamboo vase was beautifully crafted, but the tourist didn´t know what it was and wore it as a little bamboo hat.	The bamboo part is easy. Just remember that this kanji refers to those particular bamboo hats that are worn primarily by Buddhist monks, who always seem to stand outside of train stations, collecting alms.	笠	かさ【笠】conical hat (East-Asian style); coolie hat / something shaped like a conical hat; shade (of a lamp)<br/>あみがさ【編笠】braided hat<br/>すげがさ【菅笠】sedge-woven (bamboo) hat<br/>じんがさ【陣笠】ancient soldier's hat / common soldier / rank and file (of a political party)<br/>みのかさ; さりつ; さりゅう【簔笠】sedge hat and straw rain cape<br/>かさぎ【笠木】coping; top rail; cap piece; head board; what covers the top of a wall, torii or gate, not necessarily made of wood<br/>さんどがさ【三度笠】type of traditional Japanese conical hat<br/>まんじゅうがさ【饅頭笠】shallow hat with a round top (looking like a half manjuu)<br/>はながさ【花笠】type of conical hat adorned with flowers (used in Japanese traditional performing arts)<br/>まつかさ; まつぼっくり; まつぽっくり; まつぼくり; まつふぐり【松かさ】pinecone; pine cone	26	リュウ	かさ	939		0	[sound:RTK1_keyword_jp_1009..mp3]	[sound:RTK1_keyword_en_1009.mp3]
1010	"<img src=""E7ACB9.png"" />"	bamboo grass			笹	ささ	bamboo grass; generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.)	bamboo grass, bamboo, generation	Bamboo . . . generation.		11	The bamboo generation smokes bamboo grass.	"“One of the most attractive aspects of bamboo is that it is a renewable resource; it takes less than a year for a stalk to reach maturity, compared to the decades for most trees, whether needle or broadleaf.” -- Mnemonic : ""bamboo grass is the next bamboo generation""."	笹	ささ【小竹】bamboo grass; generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.)<br/>くまざさ; クマザサ【熊笹】kuma bamboo grass (Sasa veitchii); Veitch's bamboo<br/>ささはら; ささわら【笹原】field of bamboo grass<br/>ささたけ【笹竹】small bamboo<br/>ささぶね【笹舟】toy bamboo-leaf boat	26		ささ	940		1	[sound:RTK1_keyword_jp_1010..mp3]	[sound:RTK1_keyword_en_1010.mp3]
