501	"<img src=""E4B99E.png"" />"	beg	kerjama	that woman in bacolod	乞食	こじき	beggar	beg, reclining, lying down, fishhook	See someone <i>lying down</i> in a public place with a <i>hook</i> in place of a hand, <b>begging</b> a morsel of rice or a few pence.		3	Lying down, Captain Hook is begging to be spared from the ticking crocodile.	Men beg lying down. Women beg as hookers.	乞	こじき; こつじき【乞食】beggar / begging<br/>ほいとう; ほいと【乞児】being served food outside the meditation hall (at a Zen temple) / serving food; food served / begging; beggar<br/>こう【乞う】to beg; to ask; to request; to invite<br/>いのちごい【命ごい】begging for one's life; pleading for one's life<br/>ものごい【物ごい】beggar; begging<br/>あまごい【雨乞い】praying for rain<br/>いとまごい【暇乞】leave-taking; offering one's resignation; farewell visit<br/>こい【乞い】request; entreaty<br/>そでごい【袖乞い】beggar<br/>こつがい; かたい; かったい; きっかい【乞丐】beggar; bum	18	コツ, キツ, キ, キケ, コチ	こ.う	462	1013	0	[sound:RTK1_keyword_jp_501..mp3]	[sound:RTK1_keyword_en_501.mp3]
502	"<img src=""E4B9BE.png"" />"	drought	põud		乾く	かわく	to get dry	drought, mist, ten, needle, early, sun, day, beg, reclining, lying down, fishhook, ten2, needle2	In times of <b>drought</b> anything at all will do. Here we see the victims <i>begging</i> for just a little <i>mist</i> for relief.		11	During a drought, everything begs for even a mist for relief.	Beggar has to drink mist because there is no water in the drought. I get this one confused with thirst 451 but try to remember that there is no water element beacuse it is a drought.	乾	かわく【乾く】to get dry<br/>ほし【乾】drying; dried<br/>いぬい【乾】northwest<br/>けん【乾】qian (one of the trigrams of the I Ching: heaven, northwest)<br/>かんそう【乾燥】dryness; aridity; insipidity; dehydration; desiccation<br/>かんぱい【乾杯】toast; drink (in celebration or in honor of something) / drinking one's glass dry / cheers<br/>かわかす【乾かす】to dry (clothes, etc.); to desiccate<br/>ほす【乾す】to air; to dry; to desiccate / to drain (off) / to drink up / to deprive of a role, job, etc. (usu. in the passive)<br/>かわき【乾き】drying; dryness<br/>ほしくさ; ほしぐさ; かんそう【乾草】hay; dry grass<br/>ひもの; からもの【乾物】dried fish (or shellfish, etc.)<br/>ほしもの【乾物】things dried in the sun (esp. clothes, dyed cloth, etc.)<br/>かんぶつ【乾物】dry provisions; dried food; dried goods; groceries<br/>かんパン【乾パン】cracker; hard biscuit; hardtack<br/>けんこんいってき【乾坤一擲】stake all (on something); play for all or nothing; throwing all into a task<br/>なまがわき【生乾き】half-dried<br/>かんばん; かんぱん【乾板】dry plate<br/>からびる【乾びる】to dry up; to shrivel<br/>けんこん【乾坤】heaven and earth; universe<br/>かんぷ【乾布】dry towel	18	カン, ケン	かわ.く, かわ.かす, ほ.す, ひ.る, いぬい	463	1482	2	[sound:RTK1_keyword_jp_502..mp3]	[sound:RTK1_keyword_en_502.mp3]
503	"<img src=""E885B9.png"" />"	abdomen	alakeha	filipino cow folded back	お腹	おなか	kõht	abdomen, moon, month, flesh, part of the body, fold back, double back, reclining, lying down, sun, day, walking legs	If you <i>double back</i> (fold over) most animals - or people, for that matter - in the middle, the <i>part of the body</i> where the crease comes is the <b>abdomen</b>.		13	The only body part that doubles over.	Imagine getting punched in the abdomen, a fairly tender part of flesh, and instead of doubling forward, you double back. That would be pretty painful.	腹	はら【肚】abdomen; belly; stomach / womb / one's mind; one's real intentions; one's true motive / courage; nerve; willpower / generosity; magnanimity / feelings; emotions / wide middle part; bulging part / inside; interior; inner part / anti-node / counter for hard roe / counter for containers with bulging middles (pots, vases, etc.)<br/>おなか【お中】stomach<br/>わきばら【脇腹】side; flank / illegitimate child; child born by someone other than one's wife<br/>かふく; したはら; したばら【下腹】abdomen; stomach; lower parts; under parts<br/>くだりばら【下腹】diarrhoea; diarrhea; loose bowels<br/>ふくぶ【腹部】abdomen<br/>かふくぶ【下腹部】abdomen<br/>くうふく【空腹】hunger<br/>はらだたしい【腹立たしい】irritating; aggravating; upsetting<br/>うらはら【裏腹】opposite; reverse; contrary<br/>はらのなか; はらのうち【腹の中】in the belly / in one's heart of hearts<br/>ちゅうふく【中腹】mountain side; halfway up<br/>せっぷく【切腹】ritual suicide; disembowelment; seppuku; harakiri<br/>よこばら【横腹】side; flank<br/>はらだつ【腹立つ】to get angry<br/>さんぷく【山腹】hillside; mountainside<br/>ふっきん; ふくきん; はらすじ【腹筋】sit-up / abdominal muscles; abs<br/>りっぷく【立腹】anger; offence; offense; rage; taking offense; taking offence<br/>ふくつう; はらいた【腹痛】stomach ache; abdominal pain<br/>まんぷく【満腹】filling the stomach; full stomach	18	フク	はら	464	975	2	[sound:RTK1_keyword_jp_503..mp3]	[sound:RTK1_keyword_en_503.mp3]
504	"<img src=""E8A487.png"" />"	duplicate	dubleerima		複数	ふくすう	several; plural; plurality; multiple	duplicate, cloak, fold back, double back, reclining, lying down, sun, day, walking legs	In its original and etymologically transparent sense, to <b>duplicate</b> something means to <i>double</i> it <i>back</i> with a fold, like the fold of a <i>cloak</i>.		14	My girlfiend saw someone wearing the exact same (duplicate) outfit at a party, so she doubled back to change!	"In Harry Potter and the Prisoner of Azkaban, Hermione uses a device called a ""time-turner"" to double back in time, but this creates duplicates. The smart thing to do would be to combine Hermione´s time-turner with Harry´s invisibility cloak. That way, one could double back in time without creating any visible duplicates."	複	ふくざつ【複雑】complex; complicated; mixed (feelings)<br/>ふくすう【復数】several; plural; plurality; multiple<br/>ふくごう【複合】composite; combined; complex<br/>ふくせい【複製】reproduction; duplication; reprinting<br/>ふく【複】diplo-; double / doubles (tennis, etc.) / place betting (in horse racing, etc.)<br/>じゅうふく; ちょうふく【重複】duplication; repetition; overlapping; redundancy; restoration<br/>ふくしゃ【複写】copy; duplicate<br/>ふくよう【複葉】compound leaf; biplane<br/>ふくがん【複眼】compound eyes<br/>ふくしき【複式】double-entry (e.g. bookkeeping)<br/>ふくり【複利】compound interest<br/>ふくごうご【複合語】compound word; compound term<br/>ふくそすう【複素数】complex compound number (a + bi); complex number<br/>ふくそ【複素】complex / complex (number)<br/>ふくほう【複方】compound drug<br/>ふくすうこ【複数個】multitude<br/>ふくおん【複音】compound note (on a harmonica)	18	フク		465	804	2	[sound:RTK1_keyword_jp_504..mp3]	[sound:RTK1_keyword_en_504.mp3]
505	"<img src=""E6ACA0.png"" />"	lack	puudus	lack of pain in the lower part of the spine	欠点	けってん	fault; defect; flaw; weak point; weakness; shortcoming; drawback	lack, yawn	The pictograph hidden in this character is of someone yawning. The first stroke shows the head thrown back; the second, the arm bent at the elbow as the hand reaches up to cover the mouth; and the last two, the legs. Since yawning shows a <b>lack</b> of something (psychologically, interest; physiologically, sleep), the connection is plain to see.	"* As a primitive, it can mean either <i>yawn</i> or <i>lack</i>.	 "	4	To me, this kanji looks like a person with two arms and two legs, but who lacks a head.	When your body lacks oxygen you yawn.	欠	"かける【欠ける】to be chipped; to be damaged; to be broken / to be lacking; to be missing / to be insufficient; to be short; to be deficient; to be negligent toward / (of the moon) to wane; to go into eclipse<br/>かく【欠く】to chip; to nick; to break; to crack / to lack<br/>けってん【欠点】fault; defect; flaw; weak point; weakness; shortcoming; drawback / failure (in an examination); failing grade<br/>かけら【欠けら】fragment; broken pieces; splinter<br/>けっかん【欠陥】defect; fault; deficiency; deformity / shortage; gap<br/>けっせき【欠席】absence; non-attendance<br/>あくび; けんしん【欠】yawn; yawning (and stretching) / kanji ""yawning"" radical (radical 76)<br/>けつ【欠】lack; deficiency; vacancy<br/>あくび; けんしん【欠】yawn; yawning (and stretching) / kanji ""yawning"" radical (radical 76)<br/>ふかけつ【不可欠】indispensable; essential<br/>けつらく【欠落】missing; lacking<br/>かかす【欠かす】to miss (doing); to fail (to do)<br/>けつぼう【欠乏】want; shortage; famine<br/>ことかく【事欠く】to lack<br/>けつじょ【欠如】lack; privation; deficiency<br/>むけつ【無欠】flawlessness<br/>ほけつ【補欠】filling a vacancy; supplementation / substitute; deputy; alternate; spare<br/>けっきん【欠勤】absence (from work)<br/>けっそん【欠損】deficit; shortage; loss; damage<br/>けついん【欠員】vacancy; vacant position"	18	ケツ, ケン	か.ける, か.く	466	496	2	[sound:RTK1_keyword_jp_505..mp3]	[sound:RTK1_keyword_en_505.mp3]
506	"<img src=""E590B9.png"" />"	blow	puhuma	blowing the lungs empty of air	吹く	ふく	to blow (wind, etc.); to play a wind instrument	blow, mouth, lack, yawn	To <b>blow</b> is really no more than a deliberate effort to make one´s <i>mouth lack</i> all the air that is in it.		7	This is clearly a BLOWJOB, we can see the MOUTH and the LACK OF condom. (I am sorry for the image, but it sticks forever in your mind).	I keep confusing this with suck (#689). Consider someone blowing bubbles using their chewing gum because they´re lacking attention in class.	吹	ふく【吹く】to blow (e.g. wind); to play a wind instrument / to emit; to spout / to whistle / to laugh; to burst into laughter / to smelt; to mint / to brag; to talk big<br/>ふきとばす【吹き飛ばす】to blow away; to blow off; to blow up / to dispel; to drive away / to talk big<br/>ふきだす【吹き出す】to spout out; to spurt out; to gush out; to jet out / to sprout; to bud / to burst into laughter / to blow (smoke, etc.) / to send out shoots (of a tree)<br/>ふっとぶ【吹っ飛ぶ】to blow off; to be blown off<br/>ふきこむ【吹きこむ】to blow into; to breathe into / to inspire; to indoctrinate / to record (music, video, etc.)<br/>ふきとぶ【吹き飛ぶ】to be blown off; to blow off; to blow away / to vanish; to disappear<br/>ふきかける【吹きかける】to blow upon; to breathe on; to spray / to pick (a fight); to force (unreasonable terms) / to exaggerate; to overcharge<br/>ふぶき【乱吹】snow storm; blizzard<br/>やまぶき【山吹】kerria (Kerria japonica); Japanese yellow rose / bright golden yellow / gold coin<br/>ふかす【吹かす】to smoke (a cigarette) / to behave as ... / to accelerate; to rev up<br/>ふいちょう【吹聴】making public; announcing; spreading a rumor; spreading a rumour<br/>ふきぬける【吹きぬける】to blow through<br/>ふきあれる【吹き荒れる】to blow violently; to sweep over; to devastate<br/>ふきあげる【吹き上げる】to blow up (i.e. wind); to blow upwards; to spout into the air<br/>いぶき【息吹】breath / sign (of something new and fresh); breath (metaphor)<br/>ふきかえす【吹き返す】to blow in the opposite direction; to revive<br/>ふきぬけ【吹き抜け】atrium; well (in building); vault / blow-by; blow-bye; blowout / drafty; draughty<br/>ふきすさぶ【吹きすさぶ】to blow fiercely; to rage / to play (a flute, etc.) for fun<br/>ふきでる【吹き出る】to blow out; to spout out<br/>めぶく【芽ぶく】to bud	18	スイ	ふ.く	467	1122	2	[sound:RTK1_keyword_jp_506..mp3]	[sound:RTK1_keyword_en_506.mp3]
507	"<img src=""E7828A.png"" />"	cook	kokk	clarkson on a caravan holiday	炊く	たく	riisi keetma	cook, fire, lack, yawn	Better to picture what happens when you do not pay attention to your work in the kitchen. Here we see a blazing <i>fire</i> and an inattentive, <i>yawning</i> <b>cook</b> who let things get out of control.		8	Japanese cooking sometimes lacks fire, e.g., sashimi.	This character shows the difference between a cook and a chef: a chef prepares food with passion and love; a cook only stands there with a pan over a fire, with no passion and just yawning.	炊	すいじ【炊事】cooking; culinary arts<br/>じすい【自炊】cooking for oneself; cooking one's own food; doing one's own cooking; making food oneself; self-catering / scanning a book or magazine to create an ebook by oneself<br/>たく【炊く】to cook (grains, e.g. rice) / to boil; to simmer; to stew; to seethe<br/>すいはん【炊飯】rice cooking / to cook rice<br/>ぞうすい【雑炊】rice gruel containing vegetables, fish, etc., and seasoned with miso or soy sauce<br/>たける【炊ける】to be boiled; to be cooked; to be done; to be ready<br/>にたき【煮炊き】cooking<br/>たきだし【炊き出し】emergency rice feeding; distribution of rice after an emergency<br/>たきこむ【炊き込む】to cook (something) with rice<br/>めしたき【飯炊き】cooking rice; kitchenmaid; cook<br/>すいさん【炊さん】cooking (rice, grains)<br/>たきだし【炊き出し】emergency rice feeding; distribution of rice after an emergency<br/>すいふ【炊夫】male cook<br/>たきたて【炊たて】freshly cooked	18	スイ	た.く, -だ.き	468	1255	1	[sound:RTK1_keyword_jp_507..mp3]	[sound:RTK1_keyword_en_507.mp3]
508	"<img src=""E6AD8C.png"" />"	song	laul	chistmas songs in church	歌	うた	song	song, cancan, can, mouth, street, nail, spike, lack, yawn, can2, mouth2, street2, nail2, spike2	The <b>song</b> in this kanji is being sung by a chorus line of <i>can-can</i> girls. Why it should be eliciting nothing but <i>yawning</i> from the audience, I leave to you to decide.		14	Can-Can-ers lack the ability to sing a song, so they just dance.	Can-can dancers are supposed to be big-bosomed girls who dance. Yet these so called can-can dancers are flat-chested and singing a song, so audience of men is yawning in boredom.	歌	うた【唄】song / classical Japanese poetry (esp. tanka) / modern poetry<br/>うたう【唄う】to sing / to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem<br/>うたごえ; かせい【歌声】singing voice; (sound of) singing<br/>はなうた【鼻唄】humming; crooning<br/>かぶき【歌舞伎】kabuki; Japanese classical drama<br/>かし【歌詞】song lyrics; words of a song; libretto<br/>うたことば【歌詞】words mainly used in songs or poetry<br/>かしゅ【歌手】singer<br/>せいか【聖歌】hymn; chant; sacred song<br/>わか【倭歌】waka; classic Japanese poem, esp. a tanka, often 31 morae<br/>たんか; みじかうた【短歌】tanka; 31-mora Japanese poem<br/>かじん【歌人】poet (of tanka poems)<br/>うたびと【歌人】skillful tanka poet / official in charge of court poetry and music (ritsuryo period) / poet<br/>うたひめ【歌姫】songstress; diva<br/>かげき【歌劇】opera<br/>しいか; しか【詩歌】Japanese (and Chinese) poetry<br/>がいか【凱歌】victory song; victory<br/>しょうか【唱歌】singing; songs<br/>おうか【謳歌】rejoicing; glorification; exultation; celebration; enjoyment; singing praises<br/>かぶきざ【歌舞伎座】kabuki troupe; kabuki theater (theatre) / Kabuki-za (theatre in Tokyo)	18	カ	うた, うた.う	469	90	3	[sound:RTK1_keyword_jp_508..mp3]	[sound:RTK1_keyword_en_508.mp3]
509	"<img src=""E8BB9F.png"" />"	soft	pehme	lexus	軟	なん	soft	soft, car, lack, yawn	If the cushions of one´s <i>car</i> are too <b>soft</b>, one may begin <i>yawning</i> at the wheel.		11	Cars are rough steel things, lacking softness.	If your car has really soft seats, you may start yawning and eventually fall asleep at the wheel (imagine that this seat is a huge soft beanbag that nearly swallows the driver, and it will be easier to remember).	軟	じゅうなん【柔軟】flexible; lithe; soft; pliable<br/>なんじゃく【軟弱】weakness<br/>じゅうなんせい【柔軟性】flexibility; pliability; softness; elasticity<br/>やわらかい【柔かい】soft; tender; limp<br/>なんこう【軟膏】ointment; salve<br/>なんぱ; ナンパ【軟派】seducer; smooth talker; ladies' man; playboy; playgirl / picking up women (on the street) / moderate party; moderate / social story (in a newspaper, etc.); society columnist (of a newspaper) / bearish trader; bear<br/>なんきん【軟禁】lenient confinement or house arrest<br/>なんか【軟化】softening; mollification / weakening (of the market)<br/>なんたいどうぶつ【軟体動物】mollusc; mollusk<br/>なんちゃくりく【軟着陸】soft-landing<br/>やわらか【柔らか】soft; tender; limp; subdued (colour or light) (color); gentle; meek<br/>なんこつ【軟骨】cartilage<br/>なんぷう【軟風】gentle breeze<br/>なんしつ【軟質】softness<br/>なんきゅう【軟球】soft ball; rubber ball<br/>なんしき【軟式】soft (esp. of softball, tennis, etc.)<br/>こうなん【硬軟】hardness<br/>なんこうがい【軟口蓋】soft palate<br/>なんぶんがく【軟文学】love story; erotic literature<br/>なんべん【軟便】loose or soft stool	18	ナン	やわ.らか, やわ.らかい	470	1592	2	[sound:RTK1_keyword_jp_509..mp3]	[sound:RTK1_keyword_en_509.mp3]
510	"<img src=""E6ACA1.png"" />"	next	järgmine	james may standing un line in india	次	つぎ	next; following; subsequent	next, ice, lack, yawn	"This key word connotes the ""<b>next</b> in line"" of a succession of people or things. Let there be a <i>lack</i> of <i>ice</i> on the hottest day of summer, and you stand impatiently in line waiting for the distributor to call out ""<b>Next</b>!"""	"* As a primitive, this character can either retain its key word meaning of <i>next</i> or the related meaning of <i>second</i>.	 "	6	Is this store lacking ice? Let´s try the next one, then.	"A rapper called ""Ice"" went for auditions but was told he lacked talent. Next..."	次	つぎつぎ【次々】in succession; one by one<br/>しだいに【次第に】gradually (progress into a state) / in sequence; in order; in turn<br/>しだい【次第】dependent upon / as soon as; immediately (upon) / circumstances / order; precedence; program; programme; agenda<br/>つぎに【次に】next; then; after that<br/>じげん【次元】dimension / perspective; point of reference; level (of something)<br/>ついで【次いで】next; secondly; subsequently<br/>じなん【二男】second son<br/>つぐ【亜ぐ】to rank next to; to come after<br/>やじうま【弥次馬】curious onlookers; rubbernecks<br/>じき【次期】next term; next period / next version; next release<br/>つぎのま【次の間】antechamber; next room<br/>さんじげん【三次元】three dimensions; three dimensional; 3D; 3-D / real world; IRL (in real life)<br/>じゅんじ【順次】in order; sequential; seriatim<br/>じかい【次回】next time (occasion)<br/>とりつぐ【取り次ぐ】to act as an agent for; to intermediate / to announce (someone's arrival); to answer (the door, the phone); to receive (a guest at reception); to usher in (a guest) / to convey (a message)<br/>とりつぎ【取次】agency; commission; distributor; intermediation / reception (of guests) / conveyance (of messages)<br/>やじ【弥次】hooting; jeering; heckling<br/>ろじ; ろし【路次】way; path; route; along the way; along the road<br/>あいつぐ【相次ぐ】to follow in succession; to happen one after another<br/>とりつぎ【取次】agency; commission; distributor; intermediation / reception (of guests) / conveyance (of messages)	18	ジ, シ	つ.ぐ, つぎ	471	308	2	[sound:RTK1_keyword_jp_510..mp3]	[sound:RTK1_keyword_en_510.mp3]
511	"<img src=""E88CA8.png"" />"	briar	Briar	next part of the story of the briar rose	茨	いばら	thorny shrub	briar, flowers, next, ice, lack, yawn	"Earlier we made mention of the story of <b>Briar</b> Rose (or ""Sleeping Beauty,"" as we called her in frame 165) and drew attention to the <b>briar</b> hedge that grew up all about her castle. But in the <i>second</i> part of the story, these <b>briars</b> blossomed into <i>flowers</i>. Hence her name, <b>Briar</b> Rose. Be careful not to confuse this character with that for <i>thorn</i> (Frame 446)."		9	To prevent animals from eating the beautiful flowers in your garden, the best thing to do is to plant briar bushes immediately next to them.	The briar patch may look unremarkable now before it blooms, but there will be flowers next, and it will be beautiful.	茨	いばら; イバラ【棘】thorny shrub / wild rose; briar / thorn / cusp<br/>のいばら; ノイバラ【野茨】multiflora rose (Rosa multiflora)	18	シ, ジ	いばら, かや, くさぶき	472	1311	0	[sound:RTK1_keyword_jp_511..mp3]	[sound:RTK1_keyword_en_511.mp3]
