一,04e00
二,04e8c
三,04e09
四,056db
五,04e94
六,0516d
七,04e03
八,0516b
九,04e5d
十,05341
口,053e3
日,065e5
月,06708
田,07530
目,076ee
古,053e4
吾,0543e
冒,05192
朋,0670b
明,0660e
唱,05531
晶,06676
品,054c1
呂,05442
昌,0660c
早,065e9
旭,065ed
世,04e16
胃,080c3
旦,065e6
胆,080c6
亘,04e98
凹,051f9
凸,051f8
旧,065e7
自,081ea
白,0767d
百,0767e
中,04e2d
千,05343
舌,0820c
升,05347
昇,06607
丸,04e38
寸,05bf8
肘,08098
専,05c02
博,0535a
占,05360
上,04e0a
下,04e0b
卓,05353
朝,0671d
嘲,05632
只,053ea
貝,08c9d
唄,05504
貞,08c9e
員,054e1
貼,08cbc
見,0898b
児,05150
元,05143
頁,09801
頑,09811
凡,051e1
負,08ca0
万,04e07
句,053e5
肌,0808c
旬,065ec
勺,052fa
的,07684
首,09996
乙,04e59
乱,04e71
直,076f4
具,05177
真,0771f
工,05de5
左,05de6
右,053f3
有,06709
賄,08cc4
貢,08ca2
項,09805
刀,05200
刃,05203
切,05207
召,053ec
昭,0662d
則,05247
副,0526f
別,05225
丁,04e01
町,0753a
可,053ef
頂,09802
子,05b50
孔,05b54
了,04e86
女,05973
好,0597d
如,05982
母,06bcd
貫,08cab
兄,05144
呪,0546a
克,0514b
小,05c0f
少,05c11
大,05927
多,0591a
夕,05915
汐,06c50
外,05916
名,0540d
石,077f3
肖,08096
硝,0785d
砕,07815
砂,07802
妬,059ac
削,0524a
光,05149
太,0592a
器,05668
臭,081ed
嗅,055c5
妙,05999
省,07701
厚,0539a
奇,05947
川,05ddd
州,05dde
順,09806
水,06c34
氷,06c37
永,06c38
泉,06cc9
腺,0817a
原,0539f
願,09858
泳,06cf3
沼,06cbc
沖,06c96
汎,06c4e
江,06c5f
汰,06c70
汁,06c41
沙,06c99
潮,06f6e
源,06e90
活,06d3b
消,06d88
況,06cc1
河,06cb3
泊,06cca
湖,06e56
測,06e2c
土,0571f
吐,05410
圧,05727
埼,057fc
垣,057a3
填,0586b
圭,0572d
封,05c01
涯,06daf
寺,05bfa
時,06642
均,05747
火,0706b
炎,0708e
煩,07169
淡,06de1
灯,0706f
畑,07551
災,0707d
灰,07070
点,070b9
照,07167
魚,09b5a
漁,06f01
里,091cc
黒,09ed2
墨,058a8
鯉,09bc9
量,091cf
厘,05398
埋,057cb
同,0540c
洞,06d1e
胴,080f4
向,05411
尚,05c1a
字,05b57
守,05b88
完,05b8c
宣,05ba3
宵,05bb5
安,05b89
宴,05bb4
寄,05bc4
富,05bcc
貯,08caf
木,06728
林,06797
森,068ee
桂,06842
柏,067cf
枠,067a0
梢,068a2
棚,068da
杏,0674f
桐,06850
植,0690d
椅,06905
枯,067af
朴,06734
村,06751
相,076f8
机,0673a
本,0672c
札,0672d
暦,066a6
案,06848
燥,071e5
未,0672a
末,0672b
昧,06627
沫,06cab
味,05473
妹,059b9
朱,06731
株,0682a
若,082e5
草,08349
苦,082e6
苛,082db
寛,05bdb
薄,08584
葉,08449
模,06a21
漠,06f20
墓,05893
暮,066ae
膜,0819c
苗,082d7
兆,05146
桃,06843
眺,0773a
犬,072ac
状,072b6
黙,09ed9
然,07136
荻,0837b
狩,072e9
猫,0732b
牛,0725b
特,07279
告,0544a
先,05148
洗,06d17
介,04ecb
界,0754c
茶,08336
脊,0810a
合,05408
塔,05854
王,0738b
玉,07389
宝,05b9d
珠,073e0
現,073fe
玩,073a9
狂,072c2
旺,065fa
皇,07687
呈,05448
全,05168
栓,06813
理,07406
主,04e3b
注,06ce8
柱,067f1
金,091d1
銑,09291
鉢,09262
銅,09285
釣,091e3
針,091dd
銘,09298
鎮,093ae
道,09053
導,05c0e
辻,08fbb
迅,08fc5
造,09020
迫,08feb
逃,09003
辺,08fba
巡,05de1
車,08eca
連,09023
軌,08ecc
